,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,playlist_year
130,Jaded,Just Push Play,Aerosmith,2001-03-05,214333,61,0.517,0.005,0.89,1.47e-05,0.0824,-4.033,0.0539,118.009,4,2001
131,Turn Off The Light,"Whoa, Nelly! (Expanded Edition)",Nelly Furtado,2000,276066,60,0.589,0.0778,0.687,0.000289,0.419,-6.222,0.097,180.215,4,2001
132,My Friend,Goodbye Country (Hello Nightclub),Groove Armada,2001-07-11,300266,60,0.473,0.00866,0.867,0.691,0.0571,-8.824,0.159,94.09,4,2001
133,Butterflies,Invincible,Michael Jackson,2001-10-29,279160,59,0.708,0.0583,0.655,2.1e-06,0.11,-2.69,0.0883,89.99,4,2001
134,Heard It All Before,Your Woman,Sunshine Anderson,2001,295826,59,0.697,0.0614,0.925,0.0,0.095,-4.209,0.216,96.951,4,2001
135,Put It On Me,Rule 3:36,Ja Rule,2000-01-01,262826,64,0.831,0.0024,0.79,0.0,0.0515,-4.714,0.165,93.14,4,2001
136,When It's Over - David Kahne Main,Sugar Ray,Sugar Ray,2001-06-12,217853,59,0.675,0.0387,0.775,0.0,0.383,-5.772,0.0522,99.945,4,2001
137,I'm Already There,I'm Already There,Lonestar,2001-03-27,253373,59,0.377,0.61,0.395,0.0,0.295,-8.622,0.0332,133.296,4,2001
138,AM To PM,Christina Milian,Christina Milian,2001,231213,58,0.872,0.153,0.868,2.26e-05,0.843,-3.036,0.12,105.005,4,2001
139,Emotion,Survivor,Destiny's Child,2001-05-01,236400,58,0.412,0.163,0.577,0.0,0.0969,-4.944,0.119,173.675,4,2001
140,Dilemma,Nellyville,Nelly,2002-06-25,289160,77,0.727,0.227,0.552,0.000164,0.198,-8.074,0.14,168.189,4,2002
141,Without Me,The Eminem Show,Eminem,2002-05-26,290320,87,0.908,0.00286,0.669,0.0,0.237,-2.827,0.0738,112.238,4,2002
142,Overprotected - Radio Edit,Britney (Digital Deluxe Version),Britney Spears,2001-10-31,198600,62,0.682,0.0381,0.894,0.0,0.416,-1.73,0.0727,95.992,4,2002
143,The Scientist,A Rush of Blood to the Head,Coldplay,2002-08-08,309600,84,0.557,0.731,0.442,1.46e-05,0.11,-7.224,0.0243,146.277,4,2002
144,Só Por Uma Noite,Bocas Ordinárias,Charlie Brown Jr.,2002-01-01,203373,63,0.574,0.000382,0.964,0.0045,0.0578,-2.745,0.0458,109.037,4,2002
145,In the End,Hybrid Theory (Bonus Edition),Linkin Park,2000-10-24,216880,84,0.556,0.00958,0.864,0.0,0.209,-5.87,0.0584,105.143,4,2002
146,Can't Stop,By the Way (Deluxe Edition),Red Hot Chili Peppers,2002-07-09,269000,81,0.618,0.0179,0.938,0.0,0.167,-3.442,0.0456,91.455,4,2002
147,Complicated,Let Go,Avril Lavigne,2002-06-04,244506,79,0.585,0.0572,0.776,7.74e-06,0.3,-5.898,0.0459,77.987,4,2002
148,Clocks,A Rush of Blood to the Head,Coldplay,2002-08-08,307879,81,0.577,0.599,0.749,0.0115,0.183,-7.215,0.0279,130.97,4,2002
149,Ragatanga (Asereje) - Versão Editada,Rouge,Rouge,2002-08-19,211461,53,0.625,0.0112,0.955,0.00654,0.0681,-5.067,0.0545,184.124,4,2002
150,The Middle,Bleed American,Jimmy Eat World,2001-07-17,165853,79,0.643,0.0371,0.849,0.0,0.058,-5.428,0.0526,162.152,4,2002
151,How You Remind Me,Silver Side Up,Nickelback,2001-09-11,223840,79,0.446,0.00135,0.764,0.0,0.099,-5.042,0.033,172.094,4,2002
152,This Love,Songs About Jane: 10th Anniversary Edition,Maroon 5,2002,206200,78,0.712,0.0525,0.862,0.0,0.093,-4.612,0.0378,95.051,4,2002
153,All The Things She Said,200 KM/H In The Wrong Lane (10th Anniversary Edition),t.A.T.u.,2002,214440,78,0.603,0.0411,0.834,0.00609,0.105,-5.766,0.0417,89.957,4,2002
154,A Thousand Miles,Be Not Nobody,Vanessa Carlton,2002-04-30,237493,77,0.56,0.323,0.825,0.0,0.161,-3.862,0.0379,94.931,4,2002
155,Sk8er Boi,Let Go,Avril Lavigne,2002-06-04,204000,76,0.487,6.79e-05,0.9,0.0,0.358,-4.417,0.0482,149.937,4,2002
156,"Lose Yourself - From ""8 Mile"" Soundtrack",Curtain Call: The Hits (Deluxe Edition),Eminem,2005-12-06,326466,76,0.692,0.00868,0.744,0.000423,0.359,-4.565,0.257,171.374,4,2002
157,Hot In Herre,Nellyville,Nelly,2002-06-25,228240,75,0.956,0.206,0.745,0.0,0.0615,-4.753,0.12,107.075,4,2002
158,By the Way,By the Way (Deluxe Edition),Red Hot Chili Peppers,2002-07-09,216933,74,0.451,0.0264,0.97,0.00355,0.102,-4.938,0.107,122.444,4,2002
159,Wherever You Will Go,Camino Palmero,The Calling,2001,208600,74,0.558,0.0367,0.719,0.0,0.115,-5.113,0.0267,112.027,4,2002
160,Don't Know Why,Come Away With Me (Super Deluxe Edition),Norah Jones,2002-02-26,186251,74,0.745,0.851,0.219,1.8e-05,0.0678,-11.216,0.0276,88.609,4,2002
161,In My Place,A Rush of Blood to the Head,Coldplay,2002-08-08,226680,74,0.424,0.0553,0.588,4.95e-06,0.298,-5.455,0.0278,144.636,4,2002
162,She Will Be Loved - Radio Mix,Songs About Jane: 10th Anniversary Edition,Maroon 5,2002,259453,78,0.651,0.228,0.663,0.0,0.0994,-5.569,0.0281,102.0,4,2002
163,Cry Me a River,Justified,Justin Timberlake,2002-11-04,288333,73,0.624,0.577,0.654,0.0,0.104,-6.582,0.183,73.898,4,2002
164,X Gon' Give It To Ya,The Definition Of X: Pick Of The Litter,DMX,2007-06-12,217586,73,0.761,0.0135,0.899,0.0,0.0719,-3.09,0.183,95.027,4,2002
165,Always On Time,Pain Is Love,Ja Rule,2001-01-01,245133,73,0.839,0.208,0.706,0.0,0.242,-6.104,0.199,96.673,4,2002
166,Cleanin' Out My Closet,The Eminem Show,Eminem,2002-05-26,297840,73,0.908,0.0687,0.758,0.0,0.0783,-4.753,0.174,148.015,4,2002
167,Foolish,Ashanti,Ashanti,2002-01-01,227386,72,0.665,0.347,0.695,0.0,0.106,-5.763,0.0532,90.119,4,2002
168,She Hates Me,Come Clean,Puddle Of Mudd,2001-08-28,216760,72,0.58,0.00935,0.748,0.0,0.753,-5.433,0.0323,109.781,4,2002
169,My Sacrifice,Weathered,Creed,2001-01-01,294600,70,0.32,0.000101,0.88,4.31e-06,0.076,-6.035,0.0504,146.349,4,2002
170,"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]",Bad Boy's 10th Anniversary- The Hits,Various Artists,2004-03-09,285586,70,0.713,0.421,0.471,0.0,0.0308,-7.392,0.483,199.764,4,2002
171,I'm Still in Love with You (feat. Sasha),Dutty Rock,Sean Paul,2002-11-12,273360,70,0.765,0.102,0.666,0.0,0.116,-5.384,0.172,87.002,4,2002
